Project Sub-Code,Project Name,Project Type,Responsible Division,KPI Completed,Project Status,Latitude,Longitude,Date Project Awarded,Client Name,Consultant Name,First Party name,Project Description
P5100,Kmeim - Dubai Hills,"Enabling Works,Shoring Works,Design,Others,Surveying Works,Excavation Works,Piling Works",Enabling Division,True,upcoming,25.13,55.27,,M/s. KMEIM REAL ESTATE L.L.C,ONIX Engineering Consultancy,M/s. KMEIM REAL ESTATE L.L.C,
P5070,Shapoorji Pallonji - Palm Jumeirah,"Soil Improvement Works, Shoring Works",Soil Improvement Division,True,upcoming,25.1,55.15,8/22/2025,Palm Jumeirah Co LLC - Nakheel,Atkins,Shapoorji Pallonji,
P5092,China Petroleum,Infrastructure Works,Infrastructure Division,True,upcoming,-,-,,China Civil Engineering Construction Corporation,,,
P5102,"Abdul Aziz - Kalba, Sharjah",Soil Improvement Works,Soil Improvement Division,True,upcoming,,,,Mr. Abdul Aziz Mubarak Musa Bin Musa Al Loughani,Al Amayal Engineering Consultant,Mr. Abdul Aziz Mubarak Musa Bin Musa Al Loughani,
P5103,Dar Alwed - Karl Villas,Shoring Works,Infrastructure Division,True,upcoming,,,,TARAF Development LLC,Dar Al-Handasah Consultant Shair and Partners,Dar Alwd Construction L.L.C,
P5105,Sanzen - Zen Lagoon,Enabling Works,Enabling Division,True,upcoming,25.18,55.33,,Mr. Rouhollah Rezaei,Gulf Engineering & Consultants,Nad Al Shiba Engineering Consultant,
P5104,High Beam - Nad Al Shiba,"Shoring Works,Design,Others",Enabling Division,True,upcoming,25.14,55.32,,Mr. Mohammed Abdulrahim Mohammed Al Ali,Onix Engineering Consultancy,High Beam Contracting LLC,
P5106,BG Villas - Al Wasl,"Shoring Works,Piling Works",Enabling Division,True,upcoming,25.200000000000003,55.26,,M/s. High Art Engineering Consultants Duba,M/s. Tariq Hajj Architects,M/s. BG Group,
P5107,ECG - Sharjah,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.34,55.39,,M/S. Al Soor Investments L.L.C,M/s.International Engineering Consultants,M/s. Engineering Contracting Group Ltd.,
P5108,Venus - Umm Al Sheif,Shoring Works,Enabling Division,True,upcoming,25.13,55.2,,Mr. Al Shehhi,M/s. APT Build Engineering Services,M/s. Venus Construction L.L.C,
P5025-L,ORASCOM - WAVE C2,"Shoring Works, Infrastructure Works",Infrastructure Division,True,on-going,,,7/26/2025,ADNOC,ILF Consulting Engineers,Orascom Construction,
P5025-K,ORASCOM - WAVE C2,"Shoring Works, Infrastructure Works",Infrastructure Division,True,on-going,,,7/26/2025,ADNOC,ILF Consulting Engineers,Orascom Construction,
P5025-H,ORASCOM - WAVE C2,"Shoring Works, Infrastructure Works",Infrastructure Division,True,upcoming,,,4/5/2025,ADNOC,ILF Consulting Engineers,Orascom Construction,
P5025-C,ORASCOM - WAVE C2,"Shoring Works, Infrastructure Works",Infrastructure Division,True,on-going,,,7/26/2025,ADNOC,ILF Consulting Engineers,Orascom Construction,
P5025-J,ORASCOM - WAVE C2,"Shoring Works, Infrastructure Works",Infrastructure Division,True,upcoming,,,4/5/2025,ADNOC,ILF Consulting Engineers,Orascom Construction,
P5025-D,ORASCOM - WAVE C2,"Shoring Works, Infrastructure Works",Infrastructure Division,False,on-going,,,8/13/2025,ADNOC,ILF Consulting Engineers,Orascom Construction,
P5025-E,ORASCOM - WAVE C2,"Shoring Works, Infrastructure Works",Infrastructure Division,True,on-going,,,4/5/2025,ADNOC,ILF Consulting Engineers,Orascom Construction,
P5004-72-S,Shaanxi - Al Yalayis 2nd,Shoring Works,Enabling Division,True,upcoming,25.0,55.29,3/29/2025,NSHAMA Properties,LACASA,Shaanxi Construction Engineering Group,
P5004-73-P,Shaanxi - Al Yalayis 2nd,Piling Works,Enabling Division,True,upcoming,25.0,55.29,1/13/2025,NSHAMA Properties,LACASA,Shaanxi Construction Engineering Group,
P5004-72-P,Shaanxi - Al Yalayis 2nd,Piling Works,Enabling Division,True,upcoming,25.0,55.29,1/13/2025,NSHAMA Properties,LACASA,Shaanxi Construction Engineering Group,
P5004-73-S,Shaanxi - Al Yalayis 2nd,Shoring Works,Enabling Division,True,upcoming,25.0,55.29,3/29/2025,NSHAMA Properties,LACASA,Shaanxi Construction Engineering Group,
P307,PSE - THOE,Testing Works,Enabling Division,True,contract-completed,25.23,55.160000000000004,,The Heart of Europe,Fakhry Engineering Consultancy,PSE BUILDING CONTRACTING LLC,
P482,Buhaleeba - Al Jadaf,"Enabling Works,Shoring Works,Piling Works",Enabling Division,True,upcoming,25.22,55.33,,Mr. Abdulla Ali Hamad Saeed Buhaleeba,Al Ajmi Engineering Consultants,Buhaleeba Contracting,
P5082,Dar Al Wed,Infrastructure Works,Infrastructure Division,False,contract-completed,-,-,,Government of Sharjah � Public Works Department,Jacobs,DAR AL WD Construction L.L.C,
P5055,Dar Alwed - Al Juraina Sharjah - Infra,Infrastructure Works,Infrastructure Division,False,upcoming,25.28,55.480000000000004,7/5/2025,Government of Sharjah � Public Works Department,Jacobs,Dar Alwd Construction L.L.C,
P311,Future Art - Al Murar,"Enabling Works, Shoring Works",Enabling Division,True,contract-completed,25.19,55.25,,Mr. Mohammad Bin Alshikh Mejren Sultan Almarri,Future Art Engineering Consultancy.,Future Art Engineering Consultancy.,
P4100,Modun Gulf - Al Satwa,Soil Improvement Works,Soil Improvement Division,True,contract-completed,25.22,55.28,,Meraas Development,CVTEC Consulting Engineers,,
P5073,Nshama - Business Bay,"Enabling Works, Shoring Works, Piling Works",Enabling Division,True,contract-completed,25.200000000000003,55.17,9/2/2025,NSHAMA Properties,AE7,NSHAMA Properties,
P5085,Burtplace - Khalifa City,Shoring Works,Enabling Division,True,upcoming,24.44,54.620000000000005,9/24/2025,M/s. Burtville Developments,M/s. Al Shamkha Engineering Consultancy,M/s. BurtPlace General Contracting LLC,
P5087,CPC - Mira Sol,Soil Improvement Works,Soil Improvement Division,True,on-going,25.72,55.84,,Rakhat Properties L.L.C,Arjan Architects,CPC Construction Piling Company,
P5088,NPC - MBZ,"Soil Improvement Works,Infrastructure Works,Others",Soil Improvement Division,True,upcoming,-,-,,M/s. Etihad Rail,M/s. Systra,M/s. National Projects and Construction,
P5023,CCECC - RTA Project,Soil Improvement Works,Soil Improvement Division,True,upcoming,,,3/24/2025,RTA,AECOM,China Civil Engineering Construction Corporation,
P5072,Binghatti - Flare A - JVC,"Piling Works,Dewatering Works",Enabling Division,True,contract-completed,25.04,55.17,8/27/2025,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,
P5095,High Beam - Al Wasl,"Shoring Works,Enabling Division",Enabling Division,True,upcoming,25.19,55.25,10/17/2025,Mr. Mohammed Abdulrahim Mohammed Al Ali,Al Ajmi Engineering Consultants,High Beam Contracting LLC,B+G+1+R Residential Villa
P5064,Al Tamayoz - Deira Island 1012,Soil Improvement Works,Soil Improvement Division,True,contract-completed,25.32,55.32,7/25/2025,Mr.Ibrahim Hussain Ali Fardan Al Fardan,Global Engineering Consultants,Al Tamayoz Contracting Co L.L.C.,
P5028,Delta - Deira Island 257,Soil Improvement Works,Soil Improvement Division,True,contract-completed,25.3,55.300000000000004,4/14/2025,Grand Circle One Real Estate Development L.L.C,Jouzy Consulting Engineers,Delta Foundation Co. LLC,
P5039,Al Saraya - Deira Island,"Enabling Works, Shoring Works, Soil Improvement Works",Enabling Division,True,contract-completed,25.3,55.32,5/8/2025,BML Investment LLC,Al Saraya Engineering Consultants,BML Investment LLC,
P5098,CSCEC Middle East - King Salman Street,Shoring Works,Enabling Division,True,contract-completed,25.0916614,55.1465329,11/11/2025,RTA,CDM Smith Inc.,China Civil Engineering Construction Corporation,
P5080,Abu Dhabi Cycle Track,"Marine Works,Others,Marine Division,Testing,Idle Charges",Marine Division,False,on-going,-,-,,Aldar Properties,Parsons,Western Bainoona Group,
P5101,Alandlos - Al Garhoud,"Soil Improvement Works,Soil Improvement,Soil Improvement Division",Soil Improvement Division,True,upcoming,25.25,55.34,,Mr. Imad Samir Boutrous Semaan,Align Engg. Cons.,Al Andalos Contracting Co LLC,
P5066-I1,DAMAC - Riverside Indigo 1,"Enabling Works,Piling Works,Others,Shoring Works",Enabling Division,True,on-going,24.98,55.230000000000004,,Damac MRY Investment,Gulf Engineering & Consultants,Island Oasis Properties LLC,
P5096,DIB - Badr Zone 5,"Enabling Works, Shoring Works, Others",Enabling Division,True,upcoming,25.240000000000002,55.410000000000004,,M/s. Madinat Badr Properties LLC,M/s. Engineering Consortium Consulting Engineers,M/s. Madinat Badr Properties LLC,
P5091,Emarat Al Oula,"Infrastructure Works,Others,Design,Shoring Works",Enabling Division,False,on-going,-,-,,Dubai Municipality,Emarat Al Aloula,Emarat Al Aloula,
P5067,Al Wathba - Al Mamzar - Sharjah,"Piling Works,Shoring Works",Enabling Division,True,on-going,25.310000000000002,55.36,8/18/2025,Al Batha Real Estate,Cubic � Engineering Consultancy,AL WATHBA Building Cont. Co.,
P5063,ARK - Sharjah,"Soil Improvement Works,Others",Soil Improvement Division,True,on-going,25.002200000000002,55.0002,7/20/2025,Mr. Imad Samir Boutrous Semaan,ARK Engineering Consultant,Mr. Imad Samir Boutrous Semaan,
P5046,Vivanti Meteora - Al Barsha South,"Soil Improvement Works,Others",Soil Improvement Division,True,contract-completed,25.060000000000002,55.21,5/14/2025,M/s. Ahmed Moussa Mohamed Ali Heaba &,CVTEC Engineering Consultant,NOT APPLICABLE,
